----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00123.cbf | 30     | 12            | 7725            | 1.57  | 13.00                  | 3.37                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00124.cbf | 18     | 1             | 1113            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00125.cbf | 60     | 42            | 24830           | 2.29  | 3.50                   | 3.22                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00126.cbf | 35     | 15            | 10302           | 1.60  | 3.43                   | 2.95                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00127.cbf | 43     | 23            | 14724           | 1.52  | 3.56                   | 3.00                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00128.cbf | 156    | 131           | 109938          | 1.63  | 2.80                   | 2.91                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00129.cbf | 28     | 7             | 6562            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00130.cbf | 24     | 3             | 2844            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00131.cbf | 24     | 3             | 4076            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00132.cbf | 15     | 3             | 2008            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00133.cbf | 22     | 2             | 2272            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00134.cbf | 21     | 4             | 2744            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00135.cbf | 36     | 15            | 10634           | 1.63  | 4.91                   | 3.25                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00136.cbf | 28     | 7             | 4800            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00137.cbf | 32     | 15            | 9653            | 1.63  | 3.56                   | 2.96                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00138.cbf | 80     | 57            | 42538           | 1.63  | 2.92                   | 3.25                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00139.cbf | 112    | 89            | 62893           | 1.62  | 2.80                   | 3.25                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00140.cbf | 31     | 15            | 7865            | 1.57  | 3.05                   | 2.68                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00141.cbf | 29     | 10            | 4747            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00142.cbf | 31     | 8             | 4100            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00143.cbf | 55     | 39            | 18943           | 1.61  | 2.74                   | 3.02                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00144.cbf | 15     | 8             | 4435            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00145.cbf | 17     | 6             | 3980            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00146.cbf | 19     | 6             | 4214            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00147.cbf | 52     | 35            | 18149           | 1.58  | 3.63                   | 3.15                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00148.cbf | 99     | 80            | 40521           | 2.49  | 2.57                   | 3.21                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00149.cbf | 25     | 6             | 6024            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00150.cbf | 31     | 10            | 5291            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00151.cbf | 21     | 2             | 2686            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00152.cbf | 70     | 47            | 34543           | 1.70  | 2.59                   | 2.84                   | 0        | 0.00             |
